Time stamp;Contador;RSSI_DL;RSSI_UL;SNR_DL;SNR_UL;Luminosidade;LED
Sun Jun 21 20:41:00 2026;1;-75.0;-75.0;5.5;5.75;1230;0
Sun Jun 21 20:41:03 2026;2;-75.0;-75.0;5.25;5.75;1134;0
Sun Jun 21 20:41:06 2026;3;-75.0;-76.0;5.25;5.5;1200;0
Sun Jun 21 20:41:08 2026;4;-75.0;-75.0;5.5;5.75;1131;0
Sun Jun 21 20:41:11 2026;5;-75.0;-76.0;5.0;5.75;1146;0
Sun Jun 21 20:41:15 2026;6;-75.0;-76.0;5.25;5.75;1254;0
Sun Jun 21 20:41:18 2026;7;-75.0;-75.0;5.5;6.0;1201;0
Sun Jun 21 20:41:20 2026;8;-75.0;-75.0;5.25;5.5;1232;0
Sun Jun 21 20:41:23 2026;9;-75.0;-75.0;5.5;5.75;1117;0
Sun Jun 21 20:41:26 2026;10;-75.0;-75.0;5.0;5.5;1167;0
Sun Jun 21 20:41:29 2026;11;-75.0;-75.0;5.25;5.5;1187;0
Sun Jun 21 20:41:32 2026;12;-75.0;-76.0;5.25;5.75;1126;0
Sun Jun 21 20:41:35 2026;13;-75.0;-75.0;5.25;5.5;1126;0
Sun Jun 21 20:41:37 2026;14;-75.0;-75.0;5.25;5.75;1152;0
Sun Jun 21 20:41:40 2026;15;-75.0;-75.0;5.25;6.0;1246;0
Sun Jun 21 20:41:43 2026;16;-75.0;-75.0;5.25;6.25;1229;0
Sun Jun 21 20:41:46 2026;17;-74.0;-75.0;5.5;5.75;1236;0
Sun Jun 21 20:41:49 2026;18;-75.0;-76.0;5.0;5.75;1205;0
Sun Jun 21 20:41:52 2026;19;-75.0;-76.0;5.0;5.75;1203;0
Sun Jun 21 20:41:55 2026;20;-75.0;-75.0;5.25;5.75;1143;0
Sun Jun 21 20:41:58 2026;21;-75.0;-75.0;5.25;5.75;1214;0
Sun Jun 21 20:42:01 2026;22;-75.0;-75.0;5.5;5.75;1122;0
Sun Jun 21 20:42:03 2026;23;-75.0;-76.0;5.0;5.5;1200;0
Sun Jun 21 20:42:06 2026;24;-75.0;-76.0;5.25;5.75;1118;0
Sun Jun 21 20:42:09 2026;25;-75.0;-75.0;5.5;5.5;1159;0
Sun Jun 21 20:42:12 2026;26;-75.0;-76.0;5.25;5.75;1104;0
Sun Jun 21 20:42:15 2026;27;-75.0;-75.0;5.25;5.5;1108;0
Sun Jun 21 20:42:17 2026;28;-75.0;-75.0;5.0;5.25;1104;0
Sun Jun 21 20:42:20 2026;29;-75.0;-75.0;5.0;5.75;1168;0
Sun Jun 21 20:42:23 2026;30;-75.0;-75.0;5.25;5.75;1109;0
Sun Jun 21 20:42:26 2026;31;-75.0;-76.0;5.0;5.75;1113;0
Sun Jun 21 20:42:29 2026;32;-75.0;-75.0;5.25;5.25;1218;0
Sun Jun 21 20:42:32 2026;33;-75.0;-75.0;5.5;5.75;1148;0
Sun Jun 21 20:42:36 2026;34;-75.0;-76.0;5.5;5.75;1206;0
Sun Jun 21 20:42:38 2026;35;-75.0;-75.0;5.25;5.75;1179;0
Sun Jun 21 20:42:41 2026;36;-75.0;-75.0;5.25;5.5;1135;0
Sun Jun 21 20:42:44 2026;37;-75.0;-76.0;5.5;6.0;1130;0
Sun Jun 21 20:42:47 2026;38;-75.0;-75.0;5.25;5.75;1223;0
Sun Jun 21 20:42:50 2026;39;-75.0;-75.0;5.0;6.0;1154;0
Sun Jun 21 20:42:53 2026;40;-75.0;-75.0;5.5;5.5;1232;0
Sun Jun 21 20:42:56 2026;41;-75.0;-75.0;5.0;5.75;1187;0
Sun Jun 21 20:42:58 2026;42;-75.0;-75.0;5.5;5.75;1168;0
